datetime,timestamp,user,src,out,time
2023-04-27 00:02:22,1682553742,AF***-RRAG,“突围大行动”武器箱,新星 | 锦鲤,1682553742
2023-04-27 00:02:23,1682553743,A9***-P2VC,Anubis Collection Package,MAC-10 | Echoing Sands,1682553743
2023-04-27 00:02:24,1682553744,AS***-YYDQ,Anubis Collection Package,MP7 | Sunbaked,1682553744
2023-04-27 00:02:26,1682553746,AF***-RRAG,“突围大行动”武器箱,SSG 08（StatTrak™） | 无尽深海,1682553746
2023-04-27 00:02:28,1682553748,AS***-YYDQ,Anubis Collection Package,M249 | Submerged,1682553748
2023-04-27 00:02:28,1682553748,AE***-N3EG,裂空武器箱,P2000 | 盘根错节,1682553748
2023-04-27 00:02:30,1682553750,AF***-RRAG,“突围大行动”武器箱,UMP-45 | 迷之宫,1682553750
2023-04-27 00:02:30,1682553750,AK***-78NN,Anubis Collection Package,AWP | Black Nile,1682553750
2023-04-27 00:02:31,1682553751,A6***-VPGQ,伽玛武器箱,MAC-10 | 捕猎者,1682553751
2023-04-27 00:02:31,1682553751,AS***-YYDQ,Anubis Collection Package,M249 | Submerged,1682553751
2023-04-27 00:02:31,1682553751,S8***-MXWA,蛇噬武器箱,R8 左轮手枪 | 废物王,1682553751
2023-04-27 00:02:32,1682553752,A9***-P2VC,Anubis Collection Package,MP7 | Sunbaked,1682553752
2023-04-27 00:02:33,1682553753,AZ***-2VVE,裂空武器箱,MAC-10 | 魅惑,1682553753
2023-04-27 00:02:33,1682553753,SE***-88QJ,CS:GO 10周年印花胶囊,印花 | 咕 咕 咕,1682553753
2023-04-27 00:02:33,1682553753,AM***-4BFG,Anubis Collection Package,XM1014 | Hieroglyph,1682553753
2023-04-27 00:02:33,1682553753,AF***-RRAG,“突围大行动”武器箱,P2000 | 乳白象牙,1682553753
2023-04-27 00:02:33,1682553753,AF***-44NN,Anubis Collection Package,XM1014 | Hieroglyph,1682553753
2023-04-27 00:02:34,1682553754,AS***-YYDQ,Anubis Collection Package,M249 | Submerged,1682553754
2023-04-27 00:02:38,1682553758,AR***-BBPL,Anubis Collection Package,MP7 | Sunbaked,1682553758
2023-04-27 00:02:40,1682553760,AF***-RRAG,“突围大行动”武器箱,内格夫 | 沙漠精英,1682553760
2023-04-27 00:02:41,1682553761,AK***-78NN,Anubis Collection Package,AUG | Snake Pit,1682553761
2023-04-27 00:02:44,1682553764,AF***-44NN,Anubis Collection Package,AK-47 | Steel Delta,1682553764
